time,authority,metal,session,unit,price,currency
1968-05-31,lbma,gold,am,g,1.35033,USD
1968-06-04,lbma,silver,default,g,0.077998,USD
1968-06-04,lbma,gold,pm,g,1.323002,USD
1968-06-04,lbma,gold,am,g,1.32461,USD
1968-06-05,lbma,silver,default,g,0.077837,USD
1968-06-05,lbma,gold,pm,g,1.32461,USD
1968-06-05,lbma,gold,am,g,1.33104,USD
1968-06-06,lbma,silver,default,g,0.078898,USD
1968-06-06,lbma,gold,pm,g,1.32461,USD
1968-06-06,lbma,gold,am,g,1.326217,USD
1968-06-07,lbma,silver,default,g,0.079669,USD
1968-06-07,lbma,gold,pm,g,1.326217,USD
1968-06-07,lbma,gold,am,g,1.32461,USD
1968-06-10,lbma,silver,default,g,0.078641,USD
1968-06-10,lbma,gold,pm,g,1.327825,USD
1968-06-10,lbma,gold,am,g,1.329432,USD
1968-06-11,lbma,silver,default,g,0.08057,USD
1968-06-11,lbma,gold,pm,g,1.335863,USD
1968-06-11,lbma,gold,am,g,1.327825,USD
1968-06-12,lbma,silver,default,g,0.08282,USD
1968-06-12,lbma,gold,pm,g,1.347115,USD
1968-06-12,lbma,gold,am,g,1.353545,USD
1968-06-13,lbma,silver,default,g,0.08102,USD
1968-06-13,lbma,gold,pm,g,1.327825,USD
1968-06-13,lbma,gold,am,g,1.33104,USD
1968-06-14,lbma,silver,default,g,0.079252,USD
1968-06-14,lbma,gold,pm,g,1.31818,USD
1968-06-14,lbma,gold,am,g,1.292459,USD
1968-06-17,lbma,silver,default,g,0.078191,USD
1968-06-17,lbma,gold,pm,g,1.308534,USD
1968-06-17,lbma,gold,am,g,1.314965,USD
1968-06-18,lbma,silver,default,g,0.078158,USD
1968-06-18,lbma,gold,pm,g,1.321395,USD
1968-06-18,lbma,gold,am,g,1.308534,USD
1968-06-19,lbma,silver,default,g,0.08147,USD
1968-06-19,lbma,gold,pm,g,1.33104,USD
1968-06-19,lbma,gold,am,g,1.33104,USD
1968-06-20,lbma,silver,default,g,0.079348,USD
1968-06-20,lbma,gold,pm,g,1.321395,USD
1968-06-20,lbma,gold,am,g,1.319787,USD
1968-06-21,lbma,silver,default,g,0.078737,USD
1968-06-21,lbma,gold,pm,g,1.319787,USD
1968-06-21,lbma,gold,am,g,1.319787,USD
1968-06-24,lbma,silver,default,g,0.07983,USD
1968-06-24,lbma,gold,pm,g,1.314965,USD
1968-06-24,lbma,gold,am,g,1.319787,USD
1968-06-25,lbma,silver,default,g,0.080763,USD
1968-06-25,lbma,gold,pm,g,1.316572,USD
1968-06-25,lbma,gold,am,g,1.313357,USD
1968-06-26,lbma,silver,default,g,0.080152,USD
1968-06-26,lbma,gold,pm,g,1.313357,USD
1968-06-26,lbma,gold,am,g,1.316572,USD
1968-06-27,lbma,silver,default,g,0.08012,USD
1968-06-27,lbma,gold,pm,g,1.314965,USD
1968-06-27,lbma,gold,am,g,1.311749,USD
1968-06-28,lbma,silver,default,g,0.080441,USD
1968-06-28,lbma,gold,pm,g,1.314965,USD
1968-06-28,lbma,gold,am,g,1.316572,USD
1968-07-01,lbma,silver,default,g,0.080763,USD
1968-07-01,lbma,gold,pm,g,1.311749,USD
1968-07-01,lbma,gold,am,g,1.314965,USD
1968-07-02,lbma,silver,default,g,0.079187,USD
1968-07-02,lbma,gold,pm,g,1.314965,USD
1968-07-02,lbma,gold,am,g,1.313357,USD
1968-07-03,lbma,silver,default,g,0.080023,USD
1968-07-03,lbma,gold,pm,g,1.319787,USD
1968-07-03,lbma,gold,am,g,1.314965,USD
1968-07-04,lbma,silver,default,g,0.079959,USD
1968-07-04,lbma,gold,pm,g,1.323002,USD
1968-07-04,lbma,gold,am,g,1.319787,USD
1968-07-05,lbma,silver,default,g,0.079477,USD
1968-07-05,lbma,gold,pm,g,1.31818,USD
1968-07-05,lbma,gold,am,g,1.321395,USD
1968-07-08,lbma,silver,default,g,0.078319,USD
1968-07-08,lbma,gold,pm,g,1.313357,USD
1968-07-08,lbma,gold,am,g,1.316572,USD
1968-07-09,lbma,silver,default,g,0.074558,USD
1968-07-09,lbma,gold,pm,g,1.279599,USD
1968-07-09,lbma,gold,am,g,1.305319,USD
1968-07-10,lbma,silver,default,g,0.07774,USD
1968-07-10,lbma,gold,pm,g,1.289244,USD
1968-07-10,lbma,gold,am,g,1.290852,USD
1968-07-11,lbma,silver,default,g,0.076165,USD
1968-07-11,lbma,gold,pm,g,1.257093,USD
1968-07-11,lbma,gold,am,g,1.266738,USD
1968-07-12,lbma,silver,default,g,0.075554,USD
1968-07-12,lbma,gold,pm,g,1.263523,USD
1968-07-12,lbma,gold,am,g,1.257093,USD
1968-07-15,lbma,silver,default,g,0.076905,USD
1968-07-15,lbma,gold,pm,g,1.260308,USD
1968-07-15,lbma,gold,am,g,1.258701,USD
1968-07-16,lbma,silver,default,g,0.075586,USD
1968-07-16,lbma,gold,pm,g,1.237803,USD
1968-07-16,lbma,gold,am,g,1.250663,USD
1968-07-17,lbma,silver,default,g,0.074043,USD
1968-07-17,lbma,gold,pm,g,1.21369,USD
1968-07-17,lbma,gold,am,g,1.215297,USD
1968-07-18,lbma,silver,default,g,0.072082,USD
1968-07-18,lbma,gold,pm,g,1.221727,USD
1968-07-18,lbma,gold,am,g,1.221727,USD
1968-07-19,lbma,silver,default,g,0.074943,USD
1968-07-19,lbma,gold,pm,g,1.244233,USD
1968-07-19,lbma,gold,am,g,1.257093,USD
1968-07-22,lbma,silver,default,g,0.073689,USD
1968-07-22,lbma,gold,pm,g,1.241018,USD
1968-07-22,lbma,gold,am,g,1.242625,USD
1968-07-23,lbma,silver,default,g,0.073689,USD
1968-07-23,lbma,gold,pm,g,1.253878,USD
1968-07-23,lbma,gold,am,g,1.242625,USD
1968-07-24,lbma,silver,default,g,0.074847,USD
1968-07-24,lbma,gold,pm,g,1.260308,USD
1968-07-24,lbma,gold,am,g,1.260308,USD
1968-07-25,lbma,silver,default,g,0.0734,USD
