time,currency,rate
2026-06-18 19:27:22.284080,AMD,0.0027143336
2026-06-18 19:27:22.284080,ALL,0.0121284709
2026-06-18 19:27:22.284080,AFN,0.0157288156
2026-06-18 19:27:22.284080,AED,0.2722940776
2026-06-18 19:27:47.102034,ZWL,1.49552e-05
2026-06-18 19:27:47.102034,ZWD,0.00276319
2026-06-18 19:27:47.102034,ZMW,0.0555878943
2026-06-18 19:27:47.102034,ZAR,0.0607359493
2026-06-18 19:27:47.102034,YER,0.0041909291
2026-06-18 19:27:47.102034,XPF,0.0095967983
2026-06-18 19:27:47.102034,XOF,0.0017458502
2026-06-18 19:27:47.102034,XDR,1.360232215
2026-06-18 19:27:47.102034,XCD,0.3694001312
2026-06-18 19:27:47.102034,XAF,0.0017458502
2026-06-18 19:27:47.102034,WST,0.3634024317
2026-06-18 19:27:47.102034,VUV,0.0084070581
2026-06-18 19:27:47.102034,VND,3.79929e-05
2026-06-18 19:27:47.102034,VES,0.0016709281
2026-06-18 19:27:47.102034,VEF,2.77168e-07
2026-06-18 19:27:47.102034,VED,0.0016709281
2026-06-18 19:27:47.102034,UZS,8.28965e-05
2026-06-18 19:27:47.102034,UYU,0.0248800443
2026-06-18 19:27:47.102034,USD,1.0
2026-06-18 19:27:47.102034,UGX,0.0002737031
2026-06-18 19:27:47.102034,UAH,0.0222647517
2026-06-18 19:27:47.102034,TZS,0.000380397
2026-06-18 19:27:47.102034,TWD,0.0315958036
2026-06-18 19:27:47.102034,TVD,0.7008664706
2026-06-18 19:27:47.102034,TTD,0.1473522199
2026-06-18 19:27:47.102034,TRY,0.0215311012
2026-06-18 19:27:47.102034,TOP,0.4158896343
2026-06-18 19:27:47.102034,TND,0.3395900103
2026-06-18 19:27:47.102034,TMT,0.2851643552
2026-06-18 19:27:47.102034,TJS,0.1077767591
2026-06-18 19:27:47.102034,THB,0.030481513
2026-06-18 19:27:47.102034,SZL,0.0607359493
2026-06-18 19:27:47.102034,SYP,0.00904977375566
2026-06-18 19:27:47.102034,SVC,0.1142857143
2026-06-18 19:27:47.102034,STN,0.0467102212
2026-06-18 19:27:47.102034,SRD,0.026685557
2026-06-18 19:27:47.102034,SPL,6.000000024
2026-06-18 19:27:47.102034,SOS,0.0017535345
2026-06-18 19:27:47.102034,SLL,4.40506e-05
2026-06-18 19:27:47.102034,SLE,0.0437734998
2026-06-18 19:27:47.102034,SKK,0.0380137644
2026-06-18 19:27:47.102034,SHP,1.3195187094
2026-06-18 19:27:47.102034,SGD,0.7743304495
2026-06-18 19:27:47.102034,SEK,0.1042097813
2026-06-18 19:27:47.102034,SDG,0.0016660365
2026-06-18 19:27:47.102034,SCR,0.0682753418
2026-06-18 19:27:47.102034,SBD,0.124187831
2026-06-18 19:27:47.102034,SAR,0.2666666667
2026-06-18 19:27:47.102034,RWF,0.0006755624
2026-06-18 19:27:47.102034,RUB,0.01363865741056
2026-06-18 19:27:47.102034,RSD,0.0097575599
2026-06-18 19:27:47.102034,RON,0.2185672223
2026-06-18 19:27:47.102034,QAR,0.2747252747
2026-06-18 19:27:47.102034,PYG,0.0001640206
2026-06-18 19:27:47.102034,PLN,0.2687510699
2026-06-18 19:27:47.102034,PKR,0.0035935393
2026-06-18 19:27:47.102034,PHP,0.0164936959
2026-06-18 19:27:47.102034,PGK,0.228230834
2026-06-18 19:27:47.102034,PEN,0.2950057469
2026-06-18 19:27:47.102034,PAB,1.0
2026-06-18 19:27:47.102034,OMR,2.5995471333
2026-06-18 19:27:47.102034,NZD,0.5749871861
2026-06-18 19:27:47.102034,NTD,0.0337206
2026-06-18 19:27:47.102034,NPR,0.0066174413
2026-06-18 19:27:47.102034,NOK,0.1026191605
2026-06-18 19:27:47.102034,NIO,0.0271696216
2026-06-18 19:27:47.102034,NGN,0.0007350418
2026-06-18 19:27:47.102034,NAD,0.0607359493
2026-06-18 19:27:47.102034,MZN,0.015666294
2026-06-18 19:27:47.102034,MYR,0.2428443735
2026-06-18 19:27:47.102034,MXN,0.0575636647
2026-06-18 19:27:47.102034,MWK,0.0005765149
2026-06-18 19:27:47.102034,MVR,0.064684428
2026-06-18 19:27:47.102034,MUR,0.0210539623
2026-06-18 19:27:47.102034,MRU,0.0250510111
2026-06-18 19:27:47.102034,MOP,0.1238698657
2026-06-18 19:27:47.102034,MNT,0.0002793183
2026-06-18 19:27:47.102034,MMK,0.0004763261
2026-06-18 19:27:47.102034,MKD,0.0186008687
2026-06-18 19:27:47.102034,MGA,0.0002369528
2026-06-18 19:27:47.102034,MDL,0.057235477
2026-06-18 19:27:47.102034,MAD,0.1073167268
2026-06-18 19:27:47.102034,LYD,0.1566852319
2026-06-18 19:27:47.102034,LVL,1.6294858651
2026-06-18 19:27:47.102034,LTL,0.3316736173
2026-06-18 19:27:47.102034,LSL,0.0607359493
2026-06-18 19:27:47.102034,LRD,0.0054919674
2026-06-18 19:27:47.102034,LKR,0.0029972913
2026-06-18 19:27:47.102034,LBP,1.11287e-05
2026-06-18 19:27:47.102034,LAK,4.53703e-05
2026-06-18 19:27:47.102034,KZT,0.0020497801
2026-06-18 19:27:47.102034,KYD,1.202317024
2026-06-18 19:27:47.102034,KWD,3.2460876734
2026-06-18 19:27:47.102034,KRW,0.0006479795
2026-06-18 19:27:47.102034,KPW,0.0011109408
2026-06-18 19:27:47.102034,KMF,0.0023278003
2026-06-18 19:27:47.102034,KHR,0.0002484715
2026-06-18 19:27:47.102034,KGS,0.0114339768
2026-06-18 19:27:47.102034,KES,0.0077257127
2026-06-18 19:27:47.102034,JPY,0.0061812589
2026-06-18 19:27:47.102034,JOD,1.4104372355
2026-06-18 19:27:47.102034,JMD,0.0063220739
2026-06-18 19:27:47.102034,JEP,1.3195187094
2026-06-18 19:27:47.102034,ISK,0.007942239
2026-06-18 19:27:47.102034,IRR,7.2735194e-07
2026-06-18 19:27:47.102034,IQD,0.0007630476
2026-06-18 19:27:47.102034,INR,0.0105928691
2026-06-18 19:27:47.102034,IMP,1.3195187094
2026-06-18 19:27:47.102034,ILS,0.3391941939
2026-06-18 19:27:47.102034,IDR,5.60445e-05
2026-06-18 19:27:47.102034,HUF,0.003244973
2026-06-18 19:27:47.102034,HTG,0.0076430574
2026-06-18 19:27:47.102034,HRK,0.151994514
2026-06-18 19:27:47.102034,HNL,0.0373798106
2026-06-18 19:27:47.102034,HKD,0.1275859616
2026-06-18 19:27:47.102034,GYD,0.0047784715
2026-06-18 19:27:47.102034,GTQ,0.1311211276
2026-06-18 19:27:47.102034,GNF,0.0001140803
2026-06-18 19:27:47.102034,GMD,0.01358714
2026-06-18 19:27:47.102034,GIP,1.3195187094
2026-06-18 19:27:47.102034,GHS,0.0892870224
2026-06-18 19:27:47.102034,GGP,1.3195187094
